Categoria;EAN;Marca;Producto;Precio;Supermercado;Enlace;Imagen;Archivo_Imagen
Panadería y Repostería;"=""0000000040049""";Sin Marca;Torta De Frambuesa Eltit 23Cm;10990;Eltit;https://super.eltit.cl/products/torta-frambuesa-sin-lactosa-eltit-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1780a591/1086262-Torta_Frambuesa_Eltit_23Cm.JPG;0000000040049.jpg
Carnicería y Fiambrería;"=""0000000040153""";Sin Marca;Carne Molida Especial Nacional 4% De Grasa 1 Kilo Aprox;11990;Eltit;https://super.eltit.cl/products/carne-molida-esp-cat-v-nac-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9e7f3739/1014313-CARNE_MOLIDA_ESPECIAL.jpg.jpg;0000000040153.jpg
Carnicería y Fiambrería;"=""0000000040162""";Sin Marca;Costillar Cerdo 1Kg Super;6990;Eltit;https://super.eltit.cl/products/costillar-cerdo-1kg-super;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000040162.jpg
Frutas y Verduras;"=""0000000040179""";Sin Marca;Manzana Royal Gala;1695;Eltit;https://super.eltit.cl/products/manzana-royal-gala-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/292112f2/940350-manzana_gala.JPG;0000000040179.jpg
Panadería y Repostería;"=""0000000040192""";Sin Marca;Kuchen De Manzana Eltit;5990;Eltit;https://super.eltit.cl/products/kuchen-manzana-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/7fb2e4ec/1085804-Kuchen_Manzana_Eltit.JPG;0000000040192.jpg
Panadería y Repostería;"=""0000000040193""";Sin Marca;Kuchen De Durazno Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-durazno-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d5e94528/1085789-Kuchen_Durazno_Eltit.JPG;0000000040193.jpg
Panadería y Repostería;"=""0000000040197""";Sin Marca;Pie De Limón Eltit;5450;Eltit;https://super.eltit.cl/products/pie-de-limon-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/bbedef89/1085889-Pie_de_Limon_Eltit.JPG;0000000040197.jpg
Frutas y Verduras;"=""0000000040242""";Sin Marca;Uva Negra;1990;Eltit;https://super.eltit.cl/products/uva-negra-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/83ffd00b/924864-0000000040242.jpg;0000000040242.jpg
Frutas y Verduras;"=""0000000040243""";Sin Marca;Uva Blanca 1Kg;2199;Eltit;https://super.eltit.cl/products/uva-blanca-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/bf8bd7aa/983707-uvas_blancas.jpg;0000000040243.jpg
Frutas y Verduras;"=""0000000040283""";Sin Marca;Piñones 1Kg;2490;Eltit;https://super.eltit.cl/products/pinones-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d5d0d5a5/1081908-pi%C3%B1ones.JPG;0000000040283.jpg
Frutas y Verduras;"=""0000000040307""";Sin Marca;Aji Verde 1Kg;3996;Eltit;https://super.eltit.cl/products/aji-verde-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3dbf4fcb/995545-aji.jpg;0000000040307.jpg
Panadería y Repostería;"=""0000000040338""";Sin Marca;Pan Integral 1Kg;2990;Eltit;https://super.eltit.cl/products/pan-integral-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/436a46a7/927401-Pan_Integral_.jpg;0000000040338.jpg
Panadería y Repostería;"=""0000000040343""";Sin Marca;Empanada De Pino Horno (1 Unidad);1980;Eltit;https://super.eltit.cl/products/emp-pino-horno-x-unidad;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/36451c2c/926578-Empanada_pino_Horno_x_unidad_1.png;0000000040343.jpg
Panadería y Repostería;"=""0000000040345""";Sin Marca;Empanada Pino Frita 1 Unidad;1299;Eltit;https://super.eltit.cl/products/emp-pino-frita-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3eb4e708/926603-41361D7D-EACD-42BE-9B6B-73D7E28F6054.jpeg;0000000040345.jpg
Panadería y Repostería;"=""0000000040347""";Sin Marca;Empanada Queso Fritas 1 Unidad;1099;Eltit;https://super.eltit.cl/products/emp-queso-fritas-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/e9dbb6da/926580-queso_frita.png;0000000040347.jpg
Panadería y Repostería;"=""0000000040349""";Sin Marca;Empanada Napolitana De Horno 1 Unidad;1399;Eltit;https://super.eltit.cl/products/emp-napolitana-horno;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/691ef439/926577-Empanada_napolitana_horno_x_unidad_1.png;0000000040349.jpg
Panadería y Repostería;"=""0000000040351""";Sin Marca;Chaparritas 1 Unidad;999;Eltit;https://super.eltit.cl/products/chaparritas-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/c2c05b17/926601-D1377207-E5E8-4C94-A346-1498F18F4059.jpeg;0000000040351.jpg
Frutas y Verduras;"=""0000000040358""";Sin Marca;Zapallo Italiano Redondo 1 Unidades;595;Eltit;https://super.eltit.cl/products/zapallo-italiano-redondo-1-unidades;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/7916326a/926290-zapallo_italiano_redondo.JPG;0000000040358.jpg
Carnicería y Fiambrería;"=""0000000040374""";Sin Marca;Carne Molida Corriente 10% Grasa 1 Kilo Aprox;7990;Eltit;https://super.eltit.cl/products/carne-molida-corriente-1-kilo;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/697fd17b/1014314-carne_molida_corriente_10__grasa.jpg;0000000040374.jpg
Frutas y Verduras;"=""0000000040377""";Sin Marca;Papa 1Kg;895;Eltit;https://super.eltit.cl/products/papa-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/68d5d170/924314-0000000040377.jpg;0000000040377.jpg
Carnicería y Fiambrería;"=""0000000040385""";Sin Marca;Trutro Ala Pollo 1Kg Aprox.;4490;Eltit;https://super.eltit.cl/products/trutro-ala-pollo-1kg-super-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0d0d721d/1085665-Trutro_Ala_Pollo_Gen%C3%A9rico_1Kg_Aprox.JPG;0000000040385.jpg
Panadería y Repostería;"=""0000000040404""";Sin Marca;Pan Baguette Unidad;699;Eltit;https://super.eltit.cl/products/pan-baguette-unidad;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000040404.jpg
Panadería y Repostería;"=""0000000040405""";Sin Marca;Kuchen De Frambuesa Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-frambuesa-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/e6b12282/1085938-Kuchen_Frambuesa_Eltit.JPG;0000000040405.jpg
Panadería y Repostería;"=""0000000040510""";Sin Marca;Pan Ciabatta 1Kg;2499;Eltit;https://super.eltit.cl/products/pan-ciabatta-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b2ed549e/926714-PAN_CIABATTA.png;0000000040510.jpg
Despensa;"=""0000000040535""";Sin Marca;Pernil Cocido X Kg;6500;Eltit;https://super.eltit.cl/products/pernil-cocido-x-kg;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000040535.jpg
Frutas y Verduras;"=""0000000040624""";Sin Marca;Plátano Ecuatoriano;1990;Eltit;https://super.eltit.cl/products/platano-ecuatoriano-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1ccfec2e/941722-WhatsApp_Image_2024-04-23_at_11.22.36_AM.jpg;0000000040624.jpg
Carnicería y Fiambrería;"=""0000000040727""";Sin Marca;Lomo Centro Cerdo 1Kg;7990;Eltit;https://super.eltit.cl/products/lomo-cent-cerdo-super-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/87e25d69/972376-lomo_centro_de_cerdo.jpg;0000000040727.jpg
Carnicería y Fiambrería;"=""0000000040990""";Sin Marca;Entraña Envasada 1 Kg;27990;Eltit;https://super.eltit.cl/products/entrana-envasada-1-kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3e0938cc/1012706-Entra%C3%B1a_1_kilo.jpg;0000000040990.jpg
Panadería y Repostería;"=""0000000041000""";Sin Marca;Queque Marmolado Con Nueces Eltit;6990;Eltit;https://super.eltit.cl/products/queque-familiar-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/8c4a9f23/1085935-Queque_Marmolado_con_Nueces_Eltit.JPG;0000000041000.jpg
Frutas y Verduras;"=""0000000042311""";Sin Marca;Alcachofa 1Unid;999;Eltit;https://super.eltit.cl/products/alcachofa-1u;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/2d9cb73a/1020445-Alcachofa.jpg;0000000042311.jpg
Panadería y Repostería;"=""0000000045623""";Sin Marca;Kuchen De Nuez Eltit;9990;Eltit;https://super.eltit.cl/products/kuchen-nuez-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/295030e5/1085940-Kuchen_Nueces_Eltit.JPG;0000000045623.jpg
Congelados y Helados;"=""0000000050005""";Sin Marca;Hielo 1Kg;999;Eltit;https://super.eltit.cl/products/hielo-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d65e7357/927710-hielo_1kg_.jpg;0000000050005.jpg
Carnicería y Fiambrería;"=""0000000050838""";Sin Marca;Pollo Entero Por Unidad 3,260 Kg Aprox;13990;Eltit;https://super.eltit.cl/products/pollo-entero;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/91dfeccc/962894-pollo_entero.JPG;0000000050838.jpg
Panadería y Repostería;"=""0000000050979""";Sin Marca;Brazo Reina Tres Leches Eltit;4990;Eltit;https://super.eltit.cl/products/brazo-reina-tres-leches-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/93d98305/1085976-Brazo_Reina_Tres_Leches_Eltit.JPG;0000000050979.jpg
Panadería y Repostería;"=""0000000050991""";Sin Marca;Tarta De Durazno Eltit;4990;Eltit;https://super.eltit.cl/products/tarta-durazno-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/35135e66/1085887-Tarta_Durazno_Eltit.JPG;0000000050991.jpg
Carnicería y Fiambrería;"=""0000000053003""";Sin Marca;Costillar Ahumado San Felipe 1Kg;12990;Eltit;https://super.eltit.cl/products/costillar-ahumado-s-felipe-1kg;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000053003.jpg
Panadería y Repostería;"=""0000000054787""";Sin Marca;Kuchen De Coco Eltit;4990;Eltit;https://super.eltit.cl/products/kuchen-coco-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/6f78f17c/1085790-Kuchen_Coco_Eltit.JPG;0000000054787.jpg
Congelados y Helados;"=""0000000057778""";Sin Marca;Filete Salmón Congelado Aqua 1Kg;25990;Eltit;https://super.eltit.cl/products/cong-filete-salmon-1kg-aq-sin-marcas;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000057778.jpg
Panadería y Repostería;"=""0000000060123""";Sin Marca;Torta De Hoja Manjar Tradicional Eltit 15P;8990;Eltit;https://super.eltit.cl/products/torta-de-hoja-manjar-eltit-15p;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/eef8572a/1085904-Torta_Hoja_Manjar_Eltit.JPG;0000000060123.jpg
Panadería y Repostería;"=""0000000060130""";Sin Marca;Torta De Durazno Manjar Eltit 15P;10990;Eltit;https://super.eltit.cl/products/torta-de-durazno-manjar-eltit-15p;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9501f9a2/1085905-Torta_Durazno_Manjar_Eltit.JPG;0000000060130.jpg
Panadería y Repostería;"=""0000000060142""";Sin Marca;Torta De Chocolate Intenso Eltit 23Cm;9990;Eltit;https://super.eltit.cl/products/torta-chocolate-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b16b8e85/1085898-Torta_Chocolate_Eltit_23Cm.JPG;0000000060142.jpg
Despensa;"=""0000000060308""";Sin Marca;Queso La Vaquita 1 Kg Gauda Trozo;8760;Eltit;https://super.eltit.cl/products/queso-l-vaquita-1kg-gauda-trozo;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000060308.jpg
Panadería y Repostería;"=""0000000060690""";Sin Marca;Kuchen De Arándano Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-arandano;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1501df12/1085795-Kuchen_Ar%C3%A1ndano_Eltit.JPG;0000000060690.jpg
Panadería y Repostería;"=""0000000060990""";Sin Marca;Hallulla Especial 1Kg;2099;Eltit;https://super.eltit.cl/products/hallulla-especial-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/98f35e21/927403-0000000060990.jpg;0000000060990.jpg
